school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
Gabriel Pereira,Female,18,Urban,Greater Than 3,Apart,Higher Education,Higher Education,At Home,Teacher,Course,Mother,15 To 30 Min,2 To 5 Hours,0,Yes,No,No,No,Yes,Yes,No,No,4,3,4,1,1,3,6,5,6,6
Gabriel Pereira,Female,17,Urban,Greater Than 3,Living Together,Primary Education (4Th Grade),Primary Education (4Th Grade),At Home,Other,Course,Father,Less Than 15 Min,2 To 5 Hours,0,No,Yes,No,No,No,Yes,Yes,No,5,3,3,1,1,3,4,5,5,6
Gabriel Pereira,Female,15,Urban,Less Or Equal To 3,Living Together,Primary Education (4Th Grade),Primary Education (4Th Grade),At Home,Other,Other,Mother,Less Than 15 Min,2 To 5 Hours,3,Yes,No,Yes,No,Yes,Yes,Yes,No,4,3,2,2,3,3,10,7,8,10
Gabriel Pereira,Female,15,Urban,Greater Than 3,Living Together,Higher Education,5Th To 9Th Grade,Health,Services,Home,Mother,Less Than 15 Min,5 To 10 Hours,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,2,2,1,1,5,2,15,14,15
Gabriel Pereira,Female,16,Urban,Greater Than 3,Living Together,Secondary Education,Secondary Education,Other,Other,Home,Father,Less Than 15 Min,2 To 5 Hours,0,No,Yes,Yes,No,Yes,Yes,No,No,4,3,2,1,2,5,4,6,10,10
Gabriel Pereira,Male,16,Urban,Less Or Equal To 3,Living Together,Higher Education,Secondary Education,Services,Other,Reputation,Mother,Less Than 15 Min,2 To 5 Hours,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,5,4,2,1,2,5,10,15,15,15
Gabriel Pereira,Male,16,Urban,Less Or Equal To 3,Living Together,5Th To 9Th Grade,5Th To 9Th Grade,Other,Other,Home,Mother,Less Than 15 Min,2 To 5 Hours,0,No,No,No,No,Yes,Yes,Yes,No,4,4,4,1,1,3,0,12,12,11
Gabriel Pereira,Female,17,Urban,Greater Than 3,Apart,Higher Education,Higher Education,Other,Teacher,Home,Mother,15 To 30 Min,2 To 5 Hours,0,Yes,Yes,No,No,Yes,Yes,No,No,4,1,4,1,1,1,6,6,5,6
Gabriel Pereira,Male,15,Urban,Less Or Equal To 3,Apart,Secondary Education,5Th To 9Th Grade,Services,Other,Home,Mother,Less Than 15 Min,2 To 5 Hours,0,No,Yes,Yes,No,Yes,Yes,Yes,No,4,2,2,1,1,1,0,16,18,19
Gabriel Pereira,Male,15,Urban,Greater Than 3,Living Together,Secondary Education,Higher Education,Other,Other,Home,Mother,Less Than 15 Min,2 To 5 Hours,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,5,5,1,1,1,5,0,14,15,15
Gabriel Pereira,Female,15,Urban,Greater Than 3,Living Together,Higher Education,Higher Education,Teacher,Health,Reputation,Mother,Less Than 15 Min,2 To 5 Hours,0,No,Yes,Yes,No,Yes,Yes,Yes,No,3,3,3,1,2,2,0,10,8,9
Gabriel Pereira,Female,15,Urban,Greater Than 3,Living Together,5Th To 9Th Grade,Primary Education (4Th Grade),Services,Other,Reputation,Father,30 Min To 1 Hour,5 To 10 Hours,0,No,Yes,No,Yes,Yes,Yes,Yes,No,5,2,2,1,1,4,4,10,12,12
Gabriel Pereira,Male,15,Urban,Less Or Equal To 3,Living Together,Higher Education,Higher Education,Health,Services,Course,Father,Less Than 15 Min,Less Than 2 Hours,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,4,3,3,1,3,5,2,14,14,14
Gabriel Pereira,Male,15,Urban,Greater Than 3,Living Together,Higher Education,Secondary Education,Teacher,Other,Course,Mother,15 To 30 Min,2 To 5 Hours,0,No,Yes,Yes,No,Yes,Yes,Yes,No,5,4,3,1,2,3,2,10,10,11
Gabriel Pereira,Male,15,Urban,Greater Than 3,Apart,5Th To 9Th Grade,5Th To 9Th Grade,Other,Other,Home,Other,Less Than 15 Min,5 To 10 Hours,0,No,Yes,No,No,Yes,Yes,Yes,Yes,4,5,2,1,1,3,0,14,16,16
Gabriel Pereira,Female,16,Urban,Greater Than 3,Living Together,Higher Education,Higher Education,Health,Other,Home,Mother,Less Than 15 Min,Less Than 2 Hours,0,No,Yes,No,No,Yes,Yes,Yes,No,4,4,4,1,2,2,4,14,14,14
Gabriel Pereira,Female,16,Urban,Greater Than 3,Living Together,Higher Education,Higher Education,Services,Services,Reputation,Mother,Less Than 15 Min,5 To 10 Hours,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3,2,3,1,2,2,6,13,14,14
Gabriel Pereira,Female,16,Urban,Greater Than 3,Living Together,Secondary Education,Secondary Education,Other,Other,Reputation,Mother,30 Min To 1 Hour,2 To 5 Hours,0,Yes,Yes,No,Yes,Yes,Yes,No,No,5,3,2,1,1,4,4,8,10,10
Gabriel Pereira,Male,17,Urban,Greater Than 3,Living Together,Secondary Education,5Th To 9Th Grade,Services,Services,Course,Mother,Less Than 15 Min,Less Than 2 Hours,3,No,Yes,No,Yes,Yes,Yes,Yes,No,5,5,5,2,4,5,16,6,5,5
Gabriel Pereira,Male,16,Urban,Less Or Equal To 3,Living Together,Higher Education,Secondary Education,Health,Other,Home,Father,Less Than 15 Min,Less Than 2 Hours,0,No,No,Yes,Yes,Yes,Yes,Yes,No,3,1,3,1,3,5,4,8,10,10
Gabriel Pereira,Male,15,Urban,Greater Than 3,Living Together,Higher Education,Secondary Education,Teacher,Other,Reputation,Mother,Less Than 15 Min,2 To 5 Hours,0,No,No,No,No,Yes,Yes,Yes,No,4,4,1,1,1,1,0,13,14,15
Gabriel Pereira,Male,15,Urban,Greater Than 3,Living Together,Higher Education,Higher Education,Health,Health,Other,Father,Less Than 15 Min,Less Than 2 Hours,0,No,Yes,Yes,No,Yes,Yes,Yes,No,5,4,2,1,1,5,0,12,15,15
Gabriel Pereira,Male,16,Urban,Less Or Equal To 3,Living Together,Higher Education,5Th To 9Th Grade,Teacher,Other,Course,Mother,Less Than 15 Min,2 To 5 Hours,0,No,No,No,Yes,Yes,Yes,Yes,No,4,5,1,1,3,5,2,15,15,16
