school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
Gabriel Pereira,Female,18,Urban,Greater Than 3,Apart,Higher Education,Higher Education,At Home,Teacher,Course,Mother,15 To 30 Min,2 To 5 Hours,0,Yes,No,No,No,Yes,Yes,No,No,4,3,4,1,1,3,4,0,11,11
Gabriel Pereira,Female,17,Urban,Greater Than 3,Living Together,Primary Education (4Th Grade),Primary Education (4Th Grade),At Home,Other,Course,Father,Less Than 15 Min,2 To 5 Hours,0,No,Yes,No,No,No,Yes,Yes,No,5,3,3,1,1,3,2,9,11,11
Gabriel Pereira,Female,15,Urban,Less Or Equal To 3,Living Together,Primary Education (4Th Grade),Primary Education (4Th Grade),At Home,Other,Other,Mother,Less Than 15 Min,2 To 5 Hours,0,Yes,No,No,No,Yes,Yes,Yes,No,4,3,2,2,3,3,6,12,13,12
Gabriel Pereira,Female,15,Urban,Greater Than 3,Living Together,Higher Education,5Th To 9Th Grade,Health,Services,Home,Mother,Less Than 15 Min,5 To 10 Hours,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3,2,2,1,1,5,0,14,14,14
Gabriel Pereira,Female,16,Urban,Greater Than 3,Living Together,Secondary Education,Secondary Education,Other,Other,Home,Father,Less Than 15 Min,2 To 5 Hours,0,No,Yes,No,No,Yes,Yes,No,No,4,3,2,1,2,5,0,11,13,13
Gabriel Pereira,Male,16,Urban,Less Or Equal To 3,Living Together,Higher Education,Secondary Education,Services,Other,Reputation,Mother,Less Than 15 Min,2 To 5 Hours,0,No,Yes,No,Yes,Yes,Yes,Yes,No,5,4,2,1,2,5,6,12,12,13
Gabriel Pereira,Male,16,Urban,Less Or Equal To 3,Living Together,5Th To 9Th Grade,5Th To 9Th Grade,Other,Other,Home,Mother,Less Than 15 Min,2 To 5 Hours,0,No,No,No,No,Yes,Yes,Yes,No,4,4,4,1,1,3,0,13,12,13
Gabriel Pereira,Female,17,Urban,Greater Than 3,Apart,Higher Education,Higher Education,Other,Teacher,Home,Mother,15 To 30 Min,2 To 5 Hours,0,Yes,Yes,No,No,Yes,Yes,No,No,4,1,4,1,1,1,2,10,13,13
Gabriel Pereira,Male,15,Urban,Less Or Equal To 3,Apart,Secondary Education,5Th To 9Th Grade,Services,Other,Home,Mother,Less Than 15 Min,2 To 5 Hours,0,No,Yes,No,No,Yes,Yes,Yes,No,4,2,2,1,1,1,0,15,16,17
Gabriel Pereira,Male,15,Urban,Greater Than 3,Living Together,Secondary Education,Higher Education,Other,Other,Home,Mother,Less Than 15 Min,2 To 5 Hours,0,No,Yes,No,Yes,Yes,Yes,Yes,No,5,5,1,1,1,5,0,12,12,13
Gabriel Pereira,Female,15,Urban,Greater Than 3,Living Together,Higher Education,Higher Education,Teacher,Health,Reputation,Mother,Less Than 15 Min,2 To 5 Hours,0,No,Yes,No,No,Yes,Yes,Yes,No,3,3,3,1,2,2,2,14,14,14
Gabriel Pereira,Female,15,Urban,Greater Than 3,Living Together,5Th To 9Th Grade,Primary Education (4Th Grade),Services,Other,Reputation,Father,30 Min To 1 Hour,5 To 10 Hours,0,No,Yes,No,Yes,Yes,Yes,Yes,No,5,2,2,1,1,4,0,10,12,13
Gabriel Pereira,Male,15,Urban,Less Or Equal To 3,Living Together,Higher Education,Higher Education,Health,Services,Course,Father,Less Than 15 Min,Less Than 2 Hours,0,No,Yes,No,Yes,Yes,Yes,Yes,No,4,3,3,1,3,5,0,12,13,12
Gabriel Pereira,Male,15,Urban,Greater Than 3,Living Together,Higher Education,Secondary Education,Teacher,Other,Course,Mother,15 To 30 Min,2 To 5 Hours,0,No,Yes,No,No,Yes,Yes,Yes,No,5,4,3,1,2,3,0,12,12,13
Gabriel Pereira,Male,15,Urban,Greater Than 3,Apart,5Th To 9Th Grade,5Th To 9Th Grade,Other,Other,Home,Other,Less Than 15 Min,5 To 10 Hours,0,No,Yes,No,No,Yes,Yes,Yes,Yes,4,5,2,1,1,3,0,14,14,15
Gabriel Pereira,Female,16,Urban,Greater Than 3,Living Together,Higher Education,Higher Education,Health,Other,Home,Mother,Less Than 15 Min,Less Than 2 Hours,0,No,Yes,No,No,Yes,Yes,Yes,No,4,4,4,1,2,2,6,17,17,17
